"","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8","RC10","RC11","RC9","RC12"
"Type",0.38,-0.01,0.01,0.01,0,-0.01,0.02,0,0.02,-0.01,-0.02,0
"Bai",-0.01,0.04,0.01,-0.62,0.19,0.25,-0.04,0.22,0,0.01,-0.11,0
"Cong",0,-0.01,-0.01,0,0.01,0,0,0,0,0,0,1
"Pan",0.02,-0.02,0,0.04,0.09,-0.83,-0.06,0.1,-0.04,-0.03,-0.04,0
"Hai",0,0.02,0.01,0.06,-0.82,0.1,-0.09,0.08,-0.07,-0.06,-0.05,-0.01
"Hua",-0.03,-0.01,0,0.01,0.03,0.03,-0.02,0.03,-0.02,-0.01,0.96,0
"Huang",0.03,-0.03,0,0.05,0.05,0.03,-0.07,0.03,0.91,-0.05,-0.02,-0.01
"Li",0.02,-0.01,-0.01,0.07,0.08,0.06,0.85,0.06,-0.08,-0.07,-0.02,-0.01
"Nan",-0.02,-0.02,-0.02,0.03,0.03,0.02,-0.05,0.02,-0.04,0.96,-0.01,0
"Tian",-0.01,-0.05,0,0.33,0.32,0.23,-0.34,0.19,-0.26,-0.18,-0.07,-0.02
"Yue",-0.01,0.04,0.01,0.03,0.07,0.09,-0.05,-0.88,-0.04,-0.02,-0.03,-0.01
"Area",0.22,0.31,0,0.02,-0.02,0.04,-0.06,-0.03,-0.01,-0.07,-0.05,-0.01
"B",-0.2,0.33,0,-0.06,-0.02,0.04,-0.02,-0.08,-0.01,-0.05,-0.02,0
"L",0.08,0.32,0.01,0,-0.03,0.02,0.01,0.02,0.03,0,0.11,-0.01
"R",-0.07,0.35,0.01,0.01,-0.02,-0.02,0.03,-0.04,-0.07,0.02,-0.09,-0.01
"Floor",0.03,0.03,0.01,0.43,0.04,0.12,0.1,0.11,0.12,0.09,-0.07,0.01
"HH",0.01,-0.01,-0.57,-0.02,0,-0.03,0,0.01,0.02,0.03,0.01,0.02
"HM",0.02,0.01,0.56,-0.02,-0.01,-0.02,-0.02,0,0.02,0,0,0
"Brand",0.38,0,0,0.01,0,-0.02,0.02,0,0.02,-0.01,-0.02,0
