"","Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Zeng","Area","B","L","R","Floor","HH","HM","HL","Brand"
"Type",1,0.0768076110336391,0.00701701860193466,-0.0392252598018327,-0.0180388325663012,0.0422517936675346,-0.112463437073578,-0.0409757032892292,0.0589600029883613,-0.0346565324314292,0.0765867827884872,0.0344718752327785,0.502392351098816,-0.503756321182071,0.150995960332254,-0.171344638274488,-0.0692350185123682,0.041186634444827,0.0178026903552829,-0.0633362434563195,0.98533248097054
"Bai",0.0768076110336391,1,-0.00801887865728758,-0.175952584031312,-0.190942427194622,-0.0571710105432909,-0.0956940250185389,-0.140895277987377,-0.0673780613131721,-0.249254676429257,-0.13894426609161,-0.0740751784238336,0.0387488797636422,-0.010738087825695,-0.0102677586193122,-0.0310024535578478,-0.242177946545978,0.00766584828965897,0.0143635972153095,-0.0238186694643833,0.0796074620234573
"Cong",0.00701701860193466,-0.00801887865728758,1,-0.00731653647065955,-0.00793985061405564,-0.00237730969401341,-0.00397919034793868,-0.00585876840407727,-0.00280174369495149,-0.0103646157890595,-0.00577764058336907,-0.0030802261159863,0.0253805179070222,0.0254835149799596,0.0242950998499401,0.0245575487634997,0.0133570161315657,-0.0132917065367056,0.0233246864099313,-0.011208686710838,0.00710023417156713
"Pan",-0.0392252598018327,-0.175952584031312,-0.00731653647065955,1,-0.174218527561351,-0.0521636255618295,-0.0873125600218472,-0.128554812211996,-0.0614766807167191,-0.227423435185644,-0.126774681809704,-0.0675872235597513,0.0294220990038658,0.0799585586011409,0.0538780840180942,0.120525920769833,-0.072904491009774,-0.00350709772831194,0.0304333293302377,-0.0293900228262653,-0.0328627237213989
"Hai",-0.0180388325663012,-0.190942427194622,-0.00793985061405564,-0.174218527561351,1,-0.0566075760176044,-0.0947509366056365,-0.139506719986219,-0.066714033763948,-0.246798209610593,-0.137574935797843,-0.0733451491201088,-0.0745991728896968,-0.0772323726635774,-0.0891627769707397,-0.0940216557187012,-0.040596424977342,0.0130257251626362,-0.0117562516913078,-0.00110202643274058,-0.0198468573808702
"Hua",0.0422517936675346,-0.0571710105432909,-0.00237730969401341,-0.0521636255618295,-0.0566075760176044,1,-0.0283698435976513,-0.041770392659053,-0.0199751767260018,-0.0738950648685872,-0.0411919876611492,-0.0219606315644613,0.054927128896931,0.00212636457024514,0.114877129745569,-0.0105001751163002,-0.0158346503635657,-0.00173293001735174,0.00536434062365634,-0.0039907788068251,0.0429126312150746
"Huang",-0.112463437073578,-0.0956940250185389,-0.00397919034793868,-0.0873125600218472,-0.0947509366056365,-0.0283698435976513,1,-0.0699161508982415,-0.033434865733572,-0.123687094544647,-0.0689480045979687,-0.0367581612845719,-0.0310467477846001,0.109286939038516,0.033115039672891,0.0195709777493079,0.0930210890202217,0.00976150990877119,0.00105634644298389,-0.0115675424626775,-0.109766118421032
"Li",-0.0409757032892292,-0.140895277987377,-0.00585876840407727,-0.128554812211996,-0.139506719986219,-0.041770392659053,-0.0699161508982415,1,-0.0492278875414644,-0.182110926632502,-0.101515724441766,-0.0541209480058074,-0.0766797882992679,0.018341140646824,-0.00560847118875148,0.0295739312208042,0.087948669842201,-0.0288354205457834,0.0084986782959942,0.0215206792000497,-0.0414792163369791
"Nan",0.0589600029883613,-0.0673780613131721,-0.00280174369495149,-0.0614766807167191,-0.066714033763948,-0.0199751767260018,-0.033434865733572,-0.0492278875414644,1,-0.0870879518158261,-0.0485462167603741,-0.0258813822943681,0.0533145503519031,-0.0037892596164875,0.077672639163169,0.0687059479662266,0.0741651745383724,-0.0228861285774613,0.0448042030892675,-0.0243542820154605,0.0596592159322786
"Tian",-0.0346565324314292,-0.249254676429257,-0.0103646157890595,-0.227423435185644,-0.246798209610593,-0.0738950648685872,-0.123687094544647,-0.182110926632502,-0.0870879518158261,1,-0.179589191416911,-0.0957441553466481,0.0431811889619275,-0.00966791240049782,-0.0102611441487364,-0.00127142983893958,0.211467098485569,-0.0133322388267921,-0.0252431425267604,0.0417104233517986,-0.0413685117586549
