"Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Area","B","L","R","Floor","HH","HM","Brand","cluster"
1,0,0,0,0,0,0,0,0,1,0,66,2,1,1,10,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,12,4,1,1,56,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,85,2,1,1,19,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,17,4,1,2,33,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,72,1,0,1,33,0,0,1,2
0,0,0,0,0,0,1,0,0,0,0,12,4,1,1,31,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,144,3,2,2,9,1,0,1,3
1,0,0,1,0,0,0,0,0,0,0,77,2,1,1,29,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,66,2,1,1,9,1,0,1,4
1,0,0,0,1,0,0,0,0,0,0,54,3,1,1,24,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,66,2,1,1,6,1,0,1,2
0,0,0,0,0,0,0,0,0,0,1,10,3,1,1,39,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,70,2,1,1,12,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,12,4,1,2,32,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,60,1,1,1,25,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,52,1,1,1,30,1,0,1,4
1,0,0,0,0,0,0,0,0,0,1,76,3,1,1,8,0,1,1,4
1,1,0,0,0,0,0,0,0,0,0,70,2,1,1,17,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,78,2,1,1,18,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,82,3,1,1,44,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,120,3,2,2,7,0,1,1,4
0,1,0,0,0,0,0,0,0,0,0,6,4,1,1,11,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,54,1,1,1,38,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,13,4,1,1,11,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,75,2,2,1,24,0,0,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,18,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,62,3,2,1,9,0,0,1,4
0,1,0,0,0,0,0,0,0,0,0,13,4,1,2,25,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,105,3,2,1,16,1,0,1,3
0,0,0,0,0,0,0,0,0,0,1,8,4,1,1,31,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,104,3,1,1,21,0,0,1,2
0,0,0,0,1,0,0,0,0,0,0,15,4,1,1,9,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,100,3,2,2,5,0,1,1,3
0,0,0,0,0,0,1,0,0,0,0,10,4,1,1,33,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,96,3,1,1,18,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,8,5,1,2,18,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,121,3,2,2,38,1,0,1,3
1,0,0,0,0,0,0,0,0,0,1,108,3,1,2,24,1,0,1,4
1,0,0,0,0,0,0,0,0,0,0,49,1,1,2,21,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,120,3,2,2,32,1,0,1,3
1,0,0,0,0,0,0,0,0,1,0,113,3,1,1,27,0,0,1,2
0,1,0,0,0,0,0,0,0,0,0,13,4,1,2,18,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,208,1,0,0,23,0,0,1,2
0,0,0,0,0,0,1,0,0,0,0,11,4,1,1,33,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,64,2,1,1,9,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,88,3,1,1,9,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,87,3,2,1,31,0,1,1,3
1,0,0,0,0,0,1,0,0,0,0,49,1,1,1,27,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,68,3,1,1,19,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,92,2,2,1,33,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,60,3,1,1,9,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,13,4,1,2,22,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,28,1,1,1,30,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,18,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,117,3,1,2,23,1,0,1,3
0,0,0,0,1,0,0,0,0,0,0,12,4,1,2,28,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,57,1,1,1,5,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,10,3,1,1,7,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,79,2,2,1,18,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,10,3,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,100,4,1,2,15,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,32,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,106,3,1,1,17,0,0,1,2
0,1,0,0,0,0,0,0,0,0,0,15,5,1,2,18,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,78,4,1,1,6,0,1,1,4
0,1,0,0,0,0,0,0,0,0,0,13,5,1,2,16,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,80,2,2,1,11,1,0,1,3
1,0,0,0,0,0,0,1,0,0,0,108,3,2,2,50,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,80,2,1,1,8,0,1,1,2
1,0,0,0,0,0,0,1,0,0,0,89,3,2,1,23,0,1,1,3
1,0,0,1,0,0,0,0,0,0,0,88,2,2,2,16,0,0,1,3
0,0,0,0,1,0,0,0,0,0,0,8,3,1,1,13,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,60,2,1,1,19,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,8,3,1,1,30,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,69,2,1,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,0,1,75,1,1,1,32,1,0,1,4
1,0,0,0,0,1,0,0,0,0,0,103,3,2,1,26,1,0,1,3
1,0,0,1,0,0,0,0,0,0,0,41,1,1,1,10,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,32,1,1,1,9,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,93,4,1,1,7,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,59,2,1,1,19,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,12,4,1,1,15,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,182,5,2,3,15,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,6,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,80,4,1,1,9,0,0,1,4
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,31,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,60,2,1,1,7,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,12,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,60,2,1,1,7,1,0,1,4
0,0,0,0,0,0,0,0,0,1,0,16,4,1,2,25,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,61,2,1,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,12,3,1,1,26,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,77,2,2,1,28,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,65,2,1,1,9,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,10,4,1,2,32,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,40,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,74,1,1,0,15,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,96,3,2,1,22,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,55,2,1,1,6,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,56,1,1,1,41,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,9,4,1,1,32,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,86,2,1,1,19,0,1,1,4
0,0,0,0,0,0,1,0,0,0,0,8,5,1,2,28,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,57,2,1,1,19,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,99,3,2,2,18,0,0,1,3
1,0,0,1,0,0,0,0,0,0,0,75,2,1,1,8,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,63,1,1,1,20,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,57,2,0,1,26,1,0,1,4
1,0,0,0,0,0,0,1,0,0,0,25,1,1,1,21,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,45,1,1,1,26,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,13,4,1,1,11,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,40,1,1,1,5,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,8,4,1,1,9,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,50,1,1,1,20,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,11,3,1,1,7,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,58,3,1,2,26,0,1,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,12,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,83,3,0,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,7,5,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,100,2,1,1,17,0,1,1,4
0,1,0,0,0,0,0,0,0,0,0,7,4,1,2,18,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,50,1,1,1,30,0,0,1,2
0,0,0,0,1,0,0,0,0,0,0,17,4,1,2,13,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,98,3,2,1,23,0,1,1,3
0,0,0,0,0,0,0,0,0,0,1,11,5,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,42,1,1,0,29,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,40,1,1,1,6,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,114,4,2,2,7,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,67,2,2,1,9,1,0,1,4
1,0,0,0,0,0,1,0,0,0,0,100,3,2,1,9,0,1,1,3
